critic,fresh,imdb,publication,quote,review_date,rtid,title
Roger Ebert,rotten,113041,Chicago Sun-Times,"Father of the Bride Part II is not a great movie and not even as good as its 1991 inspiration (not to mention the Spencer Tracy-Elizabeth Taylor original from 1950). But it is warm and fuzzy, and has some good laughs and a lot of sweetness.",2000-01-01,4,Father of the Bride Part II
Mike Clark,rotten,113041,USA Today,"Martin, Keaton and cinematographer William A. Fraker put this retro fluff over better than expected early on, but hour 2 is only for those who don't want their equilibriums rattled by surprises.",2000-01-01,4,Father of the Bride Part II
Michael Wilmington,fresh,113277,Chicago Tribune,"When Pacino's loud, bruised cop and De Niro's canny crook stare at each other, you can read something spent and weary in their eyes and voices. The heat is hell. So are their jobs -- but somebody's got to do them.",2014-04-29,5,Heat
Anthony Lane,fresh,113277,New Yorker,"The taciturn De Niro and the braying Pacino share a flawless scene over a cup of coffee, but the real honors go to Val Kilmer and Ashley Judd as a warring, loving couple.",2014-04-29,5,Heat
Steven Rea,rotten,113277,Philadelphia Inquirer,"So why doesn't Heat, with its elaborately staged, tautly edited robberies, its killer cast, edgy score and elegant cinematography, offer more satisfaction? It's the script, stupid.",2014-04-29,5,Heat
David Ansen,fresh,113277,Newsweek,"Just when it seemed that the only hope for crime movies lay in the postmodernist artifice of films like Pulp Fiction, Mann reinvests the genre with brooding, modernist conviction. This one sticks to your gut.",2014-04-29,5,Heat
Jonathan Rosenbaum,fresh,113277,Chicago Reader,"There's nothing really new in this lengthy 1995 thriller by writer-director Michael Mann about cops and robbers in Los Angeles, but it has craft, pacing, and an overall sense of proportion, three pretty rare classic virtues nowadays.",2014-04-29,5,Heat
Dave Kehr,fresh,113277,New York Daily News,"An odd though often entertaining blend of The Asphalt Jungle and Oprah, a traditional cops-and-robbers story weirdly fitted out with long, earnest discussions of interpersonal relationships.",2014-04-29,5,Heat
Jay Boyar,fresh,113277,Orlando Sentinel,"There isn't much going on at this party other than what the actors bring to it. But fortunately, Mann has invited some exceptional ones.",2014-04-29,5,Heat
John Hartl,fresh,113277,Seattle Times,Heat becomes consistently more interesting as it forges on toward the 180-minute mark.,2014-04-29,5,Heat
Todd McCarthy,fresh,113277,Variety,Heat occupies an exalted position among the countless contemporary crime films.,2008-10-16,5,Heat
Peter Travers,fresh,113277,Rolling Stone,Robert De Niro's last great role before he devoted himself to self-parody.,2007-08-14,5,Heat
Geoff Andrew,fresh,113277,Time Out,"This is simply the best American crime movie -- and indeed, one of the finest movies, period -- in over a decade.",2006-02-09,5,Heat
Janet Maslin,rotten,113277,New York Times,"As Heat progresses, its sensational looks pale beside storytelling weaknesses that expose the more soulless aspects of this cat-and-mouse crime tale.",2003-05-20,5,Heat
Nick Hilditch,fresh,113277,BBC.com,"Taken altogether, Mann doesn't do anything particularly new, but with a subtly used supporting cast he combines everything into an unusually articulate action thriller.",2001-04-17,5,Heat
Kenneth Turan,fresh,113277,Los Angeles Times,"Michael Mann and a superlative cast have taken a classic heist movie rife with familiar genre elements and turned it into a sleek, accomplished piece of work, meticulously controlled and completely involving.",2001-02-13,5,Heat
Edward Guthmann,fresh,113277,San Francisco Chronicle,"This is the first time De Niro and Pacino have acted together, and each gives a strong, watertight performance.",2000-01-01,5,Heat
James Berardinelli,rotten,113277,ReelViews,... a colossal disappointment.,2000-01-01,5,Heat
Roger Ebert,fresh,113277,Chicago Sun-Times,Michael Mann's writing and direction elevate this material. It's not just an action picture.,2000-01-01,5,Heat
Andy Spletzer,fresh,113277,Film.com,The cop/ crime stuff that makes up the bulk of the movie is well thought out and well directed.,2000-01-01,5,Heat
Richard Schickel,fresh,113277,TIME Magazine,"All this adds good weight and tension to the movie and provides a lot of very good actors with the opportunity to do honest, probing work in a context where, typically, less will do.",2000-01-01,5,Heat
Sean P. Means,fresh,113277,Film.com,Heat generates lots of energy but gives off little light.,2000-01-01,5,Heat
Edwin Schallert,fresh,47437,Los Angeles Times,Constantly through the cleverness of individual situations Sabrina seems to override what is wrong with its plot and even its motivation.,2019-04-29,6,Sabrina
,fresh,47437,TIME Magazine,"This is never less than glittering entertainment, but somehow a certain measure of lead has found its way into the formula.",2009-02-03,6,Sabrina
Variety Staff,fresh,47437,Variety,"Script is long on glibly quipping dialog, dropped with a seemingly casual air, and broadly played situations. The splendid trouping delivers them style. Leavening the chuckles are tugs at the heart.",2008-10-18,6,Sabrina
Dave Kehr,fresh,47437,Chicago Reader,Wilder's tastelessness now seems his major artistic strength.,2007-08-15,6,Sabrina
Derek Adams,fresh,47437,Time Out,"It's a Cinderella story that gets turned on its head, a satire about breaking down class and emotional barriers, and a confrontation between New World callousness and Old World humanity.",2006-06-24,6,Sabrina
Almar Haflidason,fresh,47437,BBC.com,Abundant charm and humour,2001-04-17,6,Sabrina
James Berardinelli,fresh,47437,ReelViews,"Hampered by an unimaginative script ... nevertheless manages to be a thoroughly charming, delightfully romantic variation of the Cinderella story.",2000-01-01,6,Sabrina
Bosley Crowther,fresh,47437,New York Times,"It is a story as light as a feather and as old as yesterday's news, as transparent as a society column item and as smug as a foreign-made car. But Mr. Wilder...has made it into a commentary as crisp as a screed in a smart magazine.",2000-01-01,6,Sabrina
Susan Wloszczyna,rotten,112302,USA Today,A joyless lump.,2000-01-01,7,Tom and Huck
Geoff Andrew,fresh,114576,Time Out,"Reuniting Hyams and Van Damme, director and star of Timecop, this spectacular nail-biter exploits their combined, if limited, abilities to the full.",2006-02-09,8,Sudden Death
Stephen Holden,fresh,114576,New York Times,"Offers above-average pyrotechnics, a body count that steadily mounts, and plenty of hand-to-hand combat.",2003-05-20,8,Sudden Death
Mick LaSalle,fresh,114576,San Francisco Chronicle,Sudden Death is one of the best action thrillers of 1995. It's also the film Jean-Claude Van Damme has been building up to for 10 years.,2002-06-18,8,Sudden Death
Peter Travers,rotten,114576,Rolling Stone,"Despite the elaborate stunts, go-go-go direction from Peter Hyams, plus butt-kicking and surprise goalie action from Van Damme, Death deserves the hockey-puck booby prize for...getting its jollies by putting kids in jeopardy.",2001-05-12,8,Sudden Death
Kevin Thomas,fresh,114576,Los Angeles Times,"A treat for Jean-Claude Van Damme fans, a superior action thriller loaded with jaw-dropping stunts and special effects, and strong in production values.",2001-02-13,8,Sudden Death
Richard Harrington,fresh,114576,Washington Post,"Though the climactic duel atop the arena roof is patently absurd, it's also exciting as events go into sudden-death overtime, just like the game being played below.",2000-01-01,8,Sudden Death
Roger Ebert,rotten,114576,Chicago Sun-Times,Perhaps the world does not require more than a dozen or so Die Hard clones.You tell me.,2000-01-01,8,Sudden Death
James Berardinelli,rotten,114576,ReelViews,"About the best thing that can be said about this movie is that the action scenes, directed by Peter Hyams, are choreographed with flair. Unfortunately, the material connecting them is worthless.",2000-01-01,8,Sudden Death
Desson Thomson,rotten,114576,Washington Post,"Van Damme races against time, trying to thwart Boothe and defuse all the bombs. But in the hands of director Peter Hyams, these are just banal action-movie chores.",2000-01-01,8,Sudden Death
David Hunter,fresh,113189,Hollywood Reporter,"With a dynamite opening reel that showcases the series renewed vigor, GoldenEye is two hours of well-executed thrills, high-tech mayhem and one-of-a-kind comedy.",2019-11-19,9,GoldenEye
Michael Wilmington,fresh,113189,Chicago Tribune,"James Bond, the British spy with a taste for the high life and a license to kill, comes back in surprisingly hardy and supple form.",2015-10-28,9,GoldenEye
Doug Thomas,fresh,113189,Seattle Times,"Brosnan's right there, born to play the part. Perhaps by design, he captures a bit from each predecessor -- the panache of Sean Connery, the cheeky humor of Roger Moore, the serious grit of Timothy Dalton.",2015-10-28,9,GoldenEye
Desson Thomson,fresh,113189,Washington Post,"At the most basic, crowd-pleasing level, Goldeneye does the trick.",2015-10-28,9,GoldenEye
Steven Rea,rotten,113189,Philadelphia Inquirer,"Giving 007 a sleek bullet of a BMW instead of his trusty old Aston-Martin isn't exactly going to turn the world of Bond upside down. And, as it turns out, neither does the casting of Brosnan.",2015-10-28,9,GoldenEye
Jay Boyar,fresh,113189,Orlando Sentinel,"In GoldenEye, [Brosnan's] performance achieves darker, Conneryesque tones. And the movie's relatively realistic take on Bond -- realistic, that is, by the series' flamboyant standards -- helps to give his work weight.",2015-10-28,9,GoldenEye
Carol Buckland,fresh,113189,CNN.com,"James Bond's latest outing is big, and it's brash -- in short, it's double-oh-fun.",2015-10-28,9,GoldenEye
Dave Kehr,fresh,113189,New York Daily News,"Under the direction of Martin Campbell, GoldenEye is a film that respects its predecessors. No new heights are scaled here, but it's nevertheless a handsome, well-engineered film that gets the job done.",2015-10-28,9,GoldenEye
David Ansen,rotten,113189,Newsweek,"Entropy, the inexorable running down of an energy system, may have overtaken the Bond saga.",2015-10-28,9,GoldenEye
Gene Siskel,rotten,113189,Chicago Tribune,It's not a good sign that what I remember most about the movie is the lovely blue color of 007's new BMW convertible.,2015-10-28,9,GoldenEye
Anthony Lane,fresh,113189,New Yorker,"Brosnan, however, looks set to stay. He'll never recapture the amused cool of the young Sean Connery, but he does overcome the handicap of looking like a humorless male model.",2012-10-23,9,GoldenEye
Owen Gleiberman,rotten,113189,Entertainment Weekly,"I don't know whether the Bond series has a future, but if Xenia Onatopp ever returns to try for world domination, he may finally get a battle worth fighting.",2008-10-13,9,GoldenEye
Jonathan Rosenbaum,fresh,113189,Chicago Reader,"There's something a mite pathetic about our culture still clinging to 007, but it's hard to deny that this is one of the most entertaining entries in the Bond cycle.",2008-10-13,9,GoldenEye
Richard Schickel,rotten,113189,TIME Magazine,"Richard Kiel, you are missed.",2008-10-13,9,GoldenEye
Todd McCarthy,fresh,113189,Variety,"Among the better of the 17 Bonds and, perhaps more important for today's audience, a dynamic action entry in its own right, this first 007 adventure in six years breathes fresh creative and commercial life into the 33-year-old series.",2008-10-02,9,GoldenEye
Nigel Kendall,fresh,113189,Time Out,Director Campbell keeps matters bowling along and even manages to recapture something of the look of the earlier films.,2006-02-09,9,GoldenEye
Janet Maslin,rotten,113189,New York Times,"Brosnan, as the best-moussed Bond ever to play baccarat in Monte Carlo, makes the character's latest personality transplant viable (not to mention smashingly photogenic), but the series still suffers the blahs.",2003-05-20,9,GoldenEye
Peter Stack,fresh,113189,San Francisco Chronicle,"Supercharged with spectacular, thundering, brain-numbing fun.",2002-06-18,9,GoldenEye
Rick Groen,rotten,113189,Globe and Mail,"They have given James a new car here, but it's the same old vanity plate, the one that should read: Je Me Souviens.",2002-04-12,9,GoldenEye
Nick Hilditch,fresh,113189,BBC.com,"A bold attempt to reinvent the character itself, one that tied in with the post-cold war era.",2001-09-10,9,GoldenEye
Geoff Andrew,fresh,112346,Time Out,"Part romantic comedy, part Capra-corny political drama, this movie exudes so much sympathy, it sweats.",2006-06-24,10,The American President
Janet Maslin,fresh,112346,New York Times,"With great looks, a dandy supporting cast, a zinger-filled screenplay by Aaron Sorkin and Mr. Douglas twinkling merrily in the Oval Office, The American President is sunny enough to make the real Presidency pale by comparison.",2003-05-20,10,The American President
,fresh,112346,Variety,Genial middlebrow fare that coasts a long way on the charm of its two stars.,2001-02-13,10,The American President
Kenneth Turan,fresh,112346,Los Angeles Times,Genial and entertaining if not notably inspired.,2001-02-13,10,The American President
Desson Thomson,fresh,112346,Washington Post,A well-modulated charmer.,2000-01-01,10,The American President
Richard Corliss,fresh,112346,TIME Magazine,As bustling and impassioned as the best Sturges and Capra movies.,2000-01-01,10,The American President
John Hartl,fresh,112346,Film.com,Painless fun.,2000-01-01,10,The American President
Tom Keogh,fresh,112346,Film.com,"You can't dislike this movie, but you won't be swept away by it either.",2000-01-01,10,The American President
Paula Nechak,fresh,112346,Film.com,The American President becomes a pretty darn entertaining and affecting movie after its first simpering 20 minutes.,2000-01-01,10,The American President
Sean P. Means,fresh,112346,Film.com,The American President will make you laugh and make you smile. But it probably won't make you change your vote.,2000-01-01,10,The American President
Almar Haflidason,fresh,112346,BBC.com,Director Rob Reiner strikes a good balance between drama and old-fashioned love with Douglas and Bening suitably understated in their roles.,2000-01-01,10,The American President
Susan Stark,fresh,112346,Detroit News,"Apart from its too-obvious political bias, The American President has romance in its heart, smarts in abundance and class to spare.",2000-01-01,10,The American President
Mike Clark,fresh,112346,USA Today,A super cast injects it with Teddy Roosevelt vitality.,2000-01-01,10,The American President
James Berardinelli,rotten,112346,ReelViews,"Neither bad nor unwatchable, The American President is nevertheless the second straight disappointment from director Rob Reiner.",2000-01-01,10,The American President
Roger Ebert,fresh,112346,Chicago Sun-Times,Great entertainment.,2000-01-01,10,The American President
Edward Guthmann,fresh,112346,San Francisco Chronicle,"'Capraesque' has inevitably been affixed to The American President, but that phrase, with its implications of facile hokum, doesn't do the film justice.",2000-01-01,10,The American President
Susan Rathke,rotten,112346,Film.com,"When it comes right down to it, high office does not guarantee high comedy.",2000-01-01,10,The American President
Rita Kempley,fresh,112346,Washington Post,Frothy.,2000-01-01,10,The American President
Owen Gleiberman,fresh,112346,Entertainment Weekly,"The image of a chief executive as moonstruck single guy taps something buoyant and touching in our collective democratic imagination. And Douglas, wearing a fast-break smile in place of his usual frown, strikes a tender rapport with Bening...",1995-11-17,10,The American President
Jonathan Rosenbaum,rotten,112896,Chicago Reader,Either this is the lamest Mel Brooks comedy ever or it's too close to other contenders to make much difference.,2009-10-20,11,Dracula: Dead and Loving It
Joe Leydon,rotten,112896,Variety,"The only real sparks are set off by MacNicol as Renfield, the solicitor who develops a taste for flies and spiders after being bitten by Dracula.",2009-03-26,11,Dracula: Dead and Loving It
,rotten,112896,Time Out,"Brooks, as Van Helsing, is one of the more successful aspects, but he hasn't imbued in his stock company a similar ability to rise above their underwritten roles.",2006-01-26,11,Dracula: Dead and Loving It
Janet Maslin,fresh,112896,New York Times,Slight but amusing.,2003-05-20,11,Dracula: Dead and Loving It
David Kronke,rotten,112896,Los Angeles Times,"Not to venture forth some sort of radical idea, but aren't comedies supposed to have jokes?",2002-08-15,11,Dracula: Dead and Loving It
Desson Thomson,rotten,112896,Washington Post,"Dracula is anemic and mediocre, with only one or two moments to remind you of the former, funnier Brooks.",2000-01-01,11,Dracula: Dead and Loving It
Susan Wloszczyna,rotten,112896,USA Today,"If any movie proves that Mel Brooks' genius for skewering creaky genres has evaporated, it's this anemic attempt to draw new blood from low-flying vampire high jinks.",2000-01-01,11,Dracula: Dead and Loving It
Hal Hinson,rotten,112896,Washington Post,"This time, unfortunately, he's sucking on a dry vein.",2000-01-01,11,Dracula: Dead and Loving It
Mick LaSalle,fresh,112896,San Francisco Chronicle,"Nielsen makes a dapper and calmly inept Dracula, but it's Brooks' irrepressible and oblivious Van Helsing who's the main attraction.",2000-01-01,11,Dracula: Dead and Loving It
James Berardinelli,rotten,112896,ReelViews,It's a toothless parody that misses more often than it hits.,2000-01-01,11,Dracula: Dead and Loving It
Brian Lowry,rotten,112453,Variety,"The goose and bears, in particular, don't add much to the proceedings, while Balto himself proves rather blandly heroic.",2009-03-26,12,Balto
Nick Bradshaw,rotten,112453,Time Out,The makers of this half-hearted animated feature let the story ramble on with a minimum of second-hand plotting and characterisation.,2006-01-26,12,Balto
Stephen Holden,fresh,112453,New York Times,"Avoiding the mythological grandiosity and freneticism that afflict so many animated features these days, ""Balto"" makes modesty a virtue.",2003-05-20,12,Balto
David Kronke,rotten,112453,Los Angeles Times,"Even as voiced by Bacon, Balto doesn't have the sort of charisma to get kids to truly root for him.",2002-08-15,12,Balto
Rita Kempley,rotten,112453,Washington Post,A mushy animated melodrama.,2000-01-01,12,Balto
Roger Ebert,fresh,112453,Chicago Sun-Times,"This is a kids' movie, simply told, with lots of excitement and characters you can care about.",2000-01-01,12,Balto
Kevin McManus,fresh,112453,Washington Post,It's fun to watch him try-even if it ain't done up in Pixar.,2000-01-01,12,Balto
Susan Wloszczyna,rotten,112453,USA Today,"The love story is pure mush, not helped by the bland voice work done by Kevin Bacon as Balto and Bridget Fonda as dainty husky Jenna.",2000-01-01,12,Balto
Peter Stack,fresh,112453,San Francisco Chronicle,Tame but pleasant.,2000-01-01,12,Balto
Geoff Andrew,rotten,113987,Time Out,"As wayward and self-regarding as its subject, the film long overstays its welcome.",2006-01-26,13,Nixon
Janet Maslin,fresh,113987,New York Times,"What it finally adds up to is a huge mixed bag of waxworks and daring, a film that is furiously ambitious even when it goes flat, and startling even when it settles for eerie, movie-of-the-week mimicry.",2003-05-20,13,Nixon
Hal Hinson,fresh,113987,Washington Post,"Without question, Nixon dwarfs everything in the American cinema since Schindler's List.",2001-02-16,13,Nixon
Kenneth Turan,fresh,113987,Los Angeles Times,"Nixon starts, like a horror movie, on a dark and stormy night, with the president prowling around a room of the White House like Dracula in his lair.",2001-02-13,13,Nixon
Todd McCarthy,rotten,113987,Variety,Nixon far overstays its welcome with an increasingly tedious final hour devoted largely to slogging through the minutiae of Watergate.,2001-02-13,13,Nixon
Mike Clark,fresh,113987,USA Today,Joan Allen goes beyond her chilling physical resemblance to Pat Nixon toward serious Oscar worthiness.,2000-01-01,13,Nixon
Sean P. Means,fresh,113987,Film.com,Casting Anthony Hopkins was a stroke of unexpected genius.,2000-01-01,13,Nixon
John Hartl,rotten,113987,Film.com,There's no compelling structure or viewpoint to hold the picture together.,2000-01-01,13,Nixon
Richard Corliss,rotten,113987,TIME Magazine,"Real life, if it's real Nixon, is more dramatic than an Oliver Stone movie.",2000-01-01,13,Nixon
Lyall Bush,rotten,113987,Film.com,I never felt that I was seeing the darkness reaching out to the darkness as Nixon was once described.,2000-01-01,13,Nixon
Emily White,rotten,113987,Film.com,"Stone's no Shakespeare, and neither are his screenwriters.",2000-01-01,13,Nixon
James Berardinelli,fresh,113987,ReelViews,"Factual or not, there's no denying that Nixon has moments when it is nothing short of compelling.",2000-01-01,13,Nixon
Roger Ebert,fresh,113987,Chicago Sun-Times,"Thoughts of Hamlet, Macbeth and King Lear come to mind; here, again, is a ruler destroyed by his fatal flaws. There's something almost majestic about the process: As Nixon goes down in this film, there is no gloating, but a watery sigh, as of a great ship",2000-01-01,13,Nixon
Desson Thomson,fresh,113987,Washington Post,You will not be bored.,2000-01-01,13,Nixon
Stanley Kauffmann,fresh,113987,The New Republic,The picture is a case study.,2000-01-01,13,Nixon
Susan Stark,fresh,113987,Detroit News,"Thoughtful, well-researched and carefully modulated, the film also marks director Oliver Stone's coming of age.",2000-01-01,13,Nixon
Mick LaSalle,rotten,113987,San Francisco Chronicle,The problem here isn't accuracy. It's absurdity.,2000-01-01,13,Nixon
,fresh,113987,Entertainment Weekly,"It's overwhelming to see the many sides of Richard Nixon brought together with this kind of epic force. More than just biography, Nixon is a dizzying and cathartic spectacle -- a free fall through 50 years of American political imagination.",1995-12-22,13,Nixon
Todd McCarthy,rotten,112760,Variety,"What seemed like a dubious proposition on paper plays even more dubiously onscreen, as ""Cutthroat Island"" strenuously but vainly attempts to revive the thrills of old-fashioned pirate pictures.",2009-03-26,14,Cutthroat Island
Trevor Johnston,rotten,112760,Time Out,"In this $90m revisionist swashbuckler, we get Geena Davis doing the all-action honours, and a hotchpotch script that seems to think pirate movies are so funny in themselves the need for more humour is superfluous.",2006-02-09,14,Cutthroat Island
Janet Maslin,rotten,112760,New York Times,"t's not possible to believe that Ms. Davis is the highly respected captain of a pirate ship, and it's not even fun to try.",2003-05-20,14,Cutthroat Island
Roger Ebert,fresh,112760,Chicago Sun-Times,"It is a pirate picture, pure and simple, and doesn't transcend its genre except perhaps in the luxurious production. Leaner and meaner pirate movies have worked more or less as well, but this one gets the job done.",2000-01-01,14,Cutthroat Island
Desson Thomson,rotten,112760,Washington Post,It takes a two-hour act of will to keep facing the screen during this moribund movie.,2000-01-01,14,Cutthroat Island
Susan Wloszczyna,fresh,112760,USA Today,"If the sight of half-naked, tattooed sailors firing cannons at each other shivers your timbers, climb aboard. Even passable pirate movies don't sail by every day.",2000-01-01,14,Cutthroat Island
Owen Gleiberman,fresh,112641,Entertainment Weekly,"[Stone] seems to be trying to enter a more passionate movie, where a neurotic gold digger could at least have a good time. By the end of Casino, for all its craftsmanly bravura, you may want to join her.",2010-01-25,15,Casino
Richard Schickel,fresh,112641,TIME Magazine,"So long as Casino stays focused on the excesses -- of language, of violence, of ambition -- in the life-styles of the rich and infamous, it remains a smart, knowing, if often repetitive, spectacle.",2010-01-25,15,Casino
Jonathan Rosenbaum,rotten,112641,Chicago Reader,Simultaneously quite watchable and passionless.,2010-01-25,15,Casino
Todd McCarthy,fresh,112641,Variety,"Martin Scorsese's intimate epic about money, sex and brute force is a grandly conceived study of what happens to goodfellas from the mean streets when they outstrip their wildest dreams and achieve the pinnacle of wealth and power.",2008-05-16,15,Casino
David Ansen,rotten,112641,Newsweek,"It's not the actors' fault that no one is able to break through the film's gorgeous but chilly surface. You watch Casino with respect and appreciation, reveling in its documentary sense of detail.",2008-03-31,15,Casino
Hal Hinson,rotten,112641,Washington Post,"Scorsese may be flailing here, but Scorsese flailing is more formidable than most directors at the top of their form.",2006-08-09,15,Casino
Geoff Andrew,rotten,112641,Time Out,"The result, sadly, is that contradiction in terms, a dull Scorsese movie.",2006-02-09,15,Casino
Janet Maslin,fresh,112641,New York Times,"Of all the bravura visual effects in Martin Scorsese's dazzlingly stylish Casino, it's a glimpse of ordinary people that delivers the greatest jolt.",2003-05-20,15,Casino
